book_id,price,discount,date
10752,14000,0,2023-09-25 15:21:05.949173
67621,50000,25,2023-09-25 15:21:06.342173
48714,85000,25,2023-09-25 15:21:06.430260
31044,10000,0,2023-09-25 15:21:06.775191
91979,20000,25,2023-09-25 15:21:06.883189
91983,20000,0,2023-09-25 15:21:06.957191
120918,30000,20,2023-09-25 15:21:07.018231
38799,20000,30,2023-09-25 15:21:07.073225
58802,22000,25,2023-09-25 15:21:07.147227
121973,89000,0,2023-09-25 15:21:07.209401
53873,60000,25,2023-09-25 15:21:07.292627
25290,450000,15,2023-09-25 15:21:07.566622
112043,55000,25,2023-09-25 15:21:07.678781
61049,75000,25,2023-09-25 15:21:07.787694
44894,75000,25,2023-09-25 15:21:08.453797
86204,36000,30,2023-09-25 15:21:09.098745
13754,180000,15,2023-09-25 15:21:09.261722
82579,194000,0,2023-09-25 15:21:09.296715
103252,120000,0,2023-09-25 15:21:09.326707
19083,59000,0,2023-09-25 15:21:09.468616
19085,120000,0,2023-09-25 15:21:09.503698
19084,135000,0,2023-09-25 15:21:09.516738
12625,120000,0,2023-09-25 15:21:09.579704
45096,65000,30,2023-09-25 15:21:09.638745
104322,90000,25,2023-09-25 15:21:11.881395
56872,55000,25,2023-09-25 15:21:11.933396
89058,48000,25,2023-09-25 15:21:12.047297
28215,150000,20,2023-09-25 15:21:12.317864
55300,49000,0,2023-09-25 15:21:12.334864
70486,90000,0,2023-09-25 15:21:12.367110
16402,95000,25,2023-09-25 15:21:12.584115
1806,290000,20,2023-09-25 15:21:12.762149
99202,295000,0,2023-09-25 15:21:12.911232
22086,120000,0,2023-09-25 15:21:13.003231
38114,140000,0,2023-09-25 15:21:13.195315
10985,45000,15,2023-09-25 15:21:13.293539
108433,350000,25,2023-09-25 15:21:13.348350
113424,300000,30,2023-09-25 15:21:13.531362
6580,35000,0,2023-09-25 15:21:13.584362
6581,12000,0,2023-09-25 15:21:13.596885
6582,65000,0,2023-09-25 15:21:13.608884
54330,25000,0,2023-09-25 15:21:13.620883
25496,140000,30,2023-09-25 15:21:13.693743
114248,90000,30,2023-09-25 15:21:13.764741
62339,350000,25,2023-09-25 15:21:13.827764
68540,59000,25,2023-09-25 15:21:14.081332
97089,26000,20,2023-09-25 15:21:14.290483
75043,60000,20,2023-09-25 15:21:14.512517
30350,45000,0,2023-09-25 15:21:14.631482
